epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,258.791,1.35055,1.39072,1.40417,0.93794,0.8411,0.91497,0.61607,1.07363,0.62715,1.2733,0.00333166,0.00333166,0.00333166
2,493.352,1.22398,0.87656,1.31369,0.89695,0.86588,0.93218,0.64013,1.08599,0.72027,1.2789,0.006643,0.006643,0.006643
3,713.915,1.30387,0.9518,1.36688,0.88217,0.81166,0.87665,0.55357,1.16153,0.82224,1.36493,0.00993233,0.00993233,0.00993233
4,933.829,1.3819,1.06558,1.42425,0.88478,0.77203,0.84815,0.52978,1.23155,0.96581,1.38652,0.009901,0.009901,0.009901
5,1154.02,1.36162,1.01873,1.43126,0.86701,0.78849,0.88664,0.56346,1.18391,0.80031,1.38997,0.009868,0.009868,0.009868
6,1449.7,1.32165,0.96542,1.40735,0.86231,0.82449,0.86134,0.55153,1.14442,0.79423,1.36392,0.009835,0.009835,0.009835
7,1753.57,1.31602,0.93374,1.41001,0.88247,0.83337,0.88237,0.57536,1.15594,0.74682,1.36295,0.009802,0.009802,0.009802
8,2042.28,1.2715,0.87623,1.37401,0.89422,0.87014,0.91718,0.60615,1.12772,0.67034,1.32907,0.009769,0.009769,0.009769
9,2272.4,1.25031,0.84808,1.36631,0.88817,0.85971,0.92361,0.60389,1.14354,0.67958,1.34422,0.009736,0.009736,0.009736
10,2490.1,1.23281,0.81244,1.35883,0.87946,0.86243,0.91721,0.61116,1.08818,0.65829,1.30651,0.009703,0.009703,0.009703
11,2707.21,1.21966,0.80692,1.33981,0.89706,0.84401,0.90386,0.60451,1.13923,0.68731,1.36725,0.00967,0.00967,0.00967
12,2924.95,1.1915,0.78002,1.32182,0.91518,0.79031,0.90017,0.61369,1.0589,0.63614,1.28962,0.009637,0.009637,0.009637
13,3143.81,1.17606,0.76342,1.30726,0.92254,0.86471,0.93646,0.64659,1.03199,0.62556,1.27515,0.009604,0.009604,0.009604
14,3360.8,1.16637,0.74669,1.31448,0.93988,0.87537,0.94486,0.64284,1.04309,0.6132,1.29715,0.009571,0.009571,0.009571
15,3578,1.16395,0.74604,1.31588,0.92758,0.86625,0.93051,0.64987,1.03375,0.60943,1.26751,0.009538,0.009538,0.009538
16,3795.47,1.14419,0.72336,1.30005,0.9345,0.84248,0.93381,0.6599,1.01112,0.60001,1.25337,0.009505,0.009505,0.009505
17,4012.59,1.14106,0.70751,1.29701,0.90249,0.87923,0.92989,0.66603,1.00569,0.54629,1.2484,0.009472,0.009472,0.009472
18,4229.67,1.13073,0.70615,1.28834,0.93047,0.87551,0.93263,0.66266,1.01576,0.56104,1.26254,0.009439,0.009439,0.009439
19,4447.09,1.13003,0.69898,1.28985,0.92796,0.88002,0.94691,0.68163,0.99353,0.55075,1.24974,0.009406,0.009406,0.009406
20,4664.65,1.11987,0.68239,1.27933,0.91268,0.82763,0.90829,0.64238,0.99008,0.56971,1.22897,0.009373,0.009373,0.009373
21,4910.18,1.11796,0.67786,1.27203,0.94289,0.87108,0.93872,0.6647,0.98502,0.54707,1.24897,0.00934,0.00934,0.00934
22,5131.41,1.10487,0.66688,1.27152,0.92982,0.81405,0.91373,0.64659,0.99319,0.58425,1.22882,0.009307,0.009307,0.009307
23,5347.23,1.1025,0.66416,1.27529,0.91885,0.89271,0.95008,0.68861,0.98169,0.52553,1.2266,0.009274,0.009274,0.009274
24,5561.13,1.09699,0.65873,1.27483,0.94535,0.88047,0.95551,0.70241,0.94995,0.50429,1.20885,0.009241,0.009241,0.009241
25,5775.35,1.08336,0.64238,1.25782,0.91369,0.87934,0.95058,0.69443,0.96778,0.54741,1.2395,0.009208,0.009208,0.009208
26,5989.04,1.08273,0.63717,1.26238,0.9585,0.85356,0.94172,0.67326,0.97385,0.53367,1.22204,0.009175,0.009175,0.009175
